id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
2000,6075256,1,2,8,0,,2008-06-14 09:30:00,-73.7821479886,40.7448848723,2008-06-14 10:01:00,-73.8765701039,40.7409785232
2001,6075256,1,3,8,0,,2008-06-14 15:00:00,-73.8765701039,40.7409785232,2008-06-14 15:50:00,-73.8203709696,40.7748158387
2002,6075256,1,4,8,0,,2008-06-14 16:20:00,-73.8203709696,40.7748158387,2008-06-14 16:35:00,-73.7982522296,40.779791566
2003,6075256,1,5,8,0,,2008-06-14 16:50:00,-73.7982522296,40.779791566,2008-06-14 17:10:00,,
2004,6075318,1,1,10,0,,2008-06-07 10:00:00,-73.7780955853,40.7532468724,2008-06-07 10:30:00,-73.7810600919,40.7594712364
2005,6075318,1,2,9,0,,2008-06-07 11:00:00,-73.7810600919,40.7594712364,2008-06-07 11:20:00,-73.7780955853,40.7532468724
2006,6075318,1,3,9,0,,2008-06-07 15:00:00,-73.7780955853,40.7532468724,2008-06-07 15:10:00,-73.7780955853,40.7532468724
2007,6075318,1,4,9,0,,2008-06-07 15:30:00,-73.7780955853,40.7532468724,2008-06-07 15:40:00,-73.7780955853,40.7532468724
2008,6075476,1,1,7,0,,2008-06-07 08:30:00,-73.7417605142,40.7698820049,2008-06-07 09:00:00,-73.786453869,40.7679578156
2009,6075476,1,2,7,0,,2008-06-07 10:00:00,-73.786453869,40.7679578156,2008-06-07 10:30:00,-73.8432389161,40.7184411527
2010,6075476,1,3,8,0,,2008-06-07 16:00:00,-73.8432389161,40.7184411527,2008-06-07 16:35:00,-73.7417605142,40.7698820049
2011,6075611,1,1,8,0,,2008-06-07 09:00:00,-73.7638221236,40.7556715333,2008-06-07 09:30:00,-73.7780955853,40.7532468724
2012,6075611,1,2,8,0,,2008-06-07 10:15:00,-73.7780955853,40.7532468724,2008-06-07 10:45:00,-73.7638221236,40.7556715333
